	p7B24h	p13D24h	p2D24h	p18D24h	p16A24h	p20B24h	p19C24h	p8A24h	p1A24h	p14C24h	p5D24h	p3C24h	p11C24h	p10D24h	p4B24h	p22C24h	p9A24h	p6C24h	o10C24h	o13A24h	o4A24h	o9D24h	o19B24h	o7C24h	o1D24h	o16B24h	o22D24h	o8B24h	o3B24h	o18C24h	o14D24h	o6D24h	o20A24h	o5A24h	o2C24h	o11B24h
AC130343.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
SERPINF2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SERPINF1	0	0	0	2	0	2	3	0	0	1	1	0	4	0	0	2	0	0	0	0	3	0	4	0	0	0	1	1	0	0	0	0	1	0	1	3
RPA1	0	2	1	28	4	2	11	4	2	1	1	1	5	4	1	9	2	0	3	1	2	7	9	3	2	6	11	2	1	3	18	2	7	2	6	11
SMYD4	0	0	0	1	1	0	1	1	0	2	2	2	0	1	1	2	0	0	1	1	1	3	1	1	0	1	0	0	1	1	4	0	3	2	0	2
RTN4RL1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DPH1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OVCA2	0	0	2	15	0	0	4	1	2	0	0	0	2	2	2	6	1	1	2	0	2	3	3	0	1	1	4	0	1	1	3	0	3	0	2	9
AC090617.3	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	1	2	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	0	0	4
AC090617.5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC090617.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC090617.8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCUR1P1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	2	1	0	0	0	1	0	0	0	0	0
SMG6-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AL450226.2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR	0	0	0	5	0	1	5	0	1	0	0	0	3	1	1	2	1	1	0	0	0	2	2	0	0	0	2	1	0	0	3	0	1	1	0	4
SMG6	1	2	1	13	1	3	6	2	2	2	4	3	1	5	1	10	1	2	1	2	4	3	3	1	2	1	5	2	3	2	13	0	4	3	0	2
SGSM2	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	4	0	2	1	0	2	0	1	1	1	0	0	0	0	0	3	0	1	0	1	0
TSR1	0	1	1	4	1	1	0	1	0	1	1	0	0	0	1	1	0	0	0	1	3	1	1	1	1	1	0	1	0	0	2	2	1	0	0	1
AC006435.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006435.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MNT	0	0	2	4	0	3	2	0	0	0	0	0	1	0	0	3	0	0	0	1	0	3	5	1	0	1	3	0	0	2	2	1	2	0	0	3
AC006435.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006435.5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
METTL16	1	0	4	8	1	1	3	2	1	0	1	2	4	1	0	3	0	2	0	4	1	6	1	1	4	0	2	1	1	1	5	1	2	0	3	5
EIF4A1P9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PAFAH1B1	4	7	5	58	9	9	30	7	5	7	9	2	17	11	1	38	6	8	8	3	8	15	21	12	8	5	32	10	8	11	43	6	19	7	12	27
SAMD11P1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
AC015799.1	0	0	0	4	1	1	4	0	0	0	1	0	1	0	0	2	0	1	0	0	0	3	2	1	1	0	3	0	0	1	5	0	0	0	0	4
