	p7B24h	p13D24h	p2D24h	p18D24h	p16A24h	p20B24h	p19C24h	p8A24h	p1A24h	p14C24h	p5D24h	p3C24h	p11C24h	p10D24h	p4B24h	p22C24h	p9A24h	p6C24h	o10C24h	o13A24h	o4A24h	o9D24h	o19B24h	o7C24h	o1D24h	o16B24h	o22D24h	o8B24h	o3B24h	o18C24h	o14D24h	o6D24h	o20A24h	o5A24h	o2C24h	o11B24h
MIR6859-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
MIR1302-2HG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
WASH7P	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0
AL627309.1	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FO538757.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
RPL23AP24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AL732372.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP006222.1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AL732372.3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
RF00026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL732372.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC114498.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
MTND1P23	1	1	0	23	2	21	8	2	2	4	3	3	81	1	2	79	0	1	0	1	3	7	4	4	0	1	8	1	2	3	9	1	141	0	4	120
MTND2P28	0	1	0	17	4	3	48	2	3	1	4	1	10	3	1	16	1	2	3	1	3	10	63	2	5	6	6	5	0	3	15	6	5	3	4	17
MTCO1P12	1	0	0	5	0	1	5	1	2	1	0	0	25	0	1	18	2	1	0	1	0	0	1	2	1	1	8	0	0	1	5	1	8	0	3	32
MIR6723	0	0	0	4	1	0	1	1	1	0	0	0	1	1	0	5	0	0	1	0	0	1	0	0	0	0	1	0	0	0	3	0	2	0	0	1
MTCO2P12	0	0	0	4	0	1	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	2
MTATP8P1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MTATP6P1	3	1	7	91	4	2	51	11	9	6	8	2	53	8	10	107	4	8	7	5	11	49	45	19	14	20	77	18	8	6	80	11	38	5	9	94
MTCO3P12	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AL669831.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.5	0	1	1	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	1	1	0	0	0	2
AL669831.4	1	1	1	1	1	2	2	1	2	0	0	0	2	0	1	3	2	0	1	0	0	0	4	1	2	1	4	0	3	0	5	0	4	2	2	3
LINC01128	0	0	1	2	0	1	0	1	0	0	3	0	0	0	1	2	1	0	2	1	0	0	4	1	0	0	0	2	1	1	2	1	0	0	0	3
AL669831.3	1	3	6	76	8	10	48	15	10	14	9	5	37	8	11	64	6	4	8	3	6	41	32	19	7	20	53	15	3	5	71	8	38	13	10	61
TUBB8P11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SAMD11	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2
NOC2L	1	0	2	3	0	0	2	0	1	0	0	0	2	0	1	8	1	0	5	2	0	0	3	2	3	1	4	1	6	1	6	1	2	1	1	2
KLHL17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PLEKHN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HES4	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	1	2	2	0	0	1	2	0	1	2	5	0	4	0	0	4
ISG15	6	4	5	116	9	10	31	7	36	2	13	5	40	11	4	72	6	2	14	0	9	37	47	22	7	57	70	8	4	49	118	5	46	17	11	58
AGRN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
AL645608.5	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	3
AL390719.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
C1orf159	1	1	0	4	0	0	1	0	0	0	0	0	1	0	0	2	1	1	1	0	0	1	2	0	0	1	0	1	1	1	2	0	3	1	1	1
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TNFRSF18	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1
TNFRSF4	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	2	1	1	0	0	3	0	0	0	0	0	2	1	0	0	3	0	0	0	0	2
SDF4	0	0	0	22	1	0	3	2	1	0	0	1	4	0	1	12	1	3	3	1	0	3	8	5	1	6	9	5	2	0	14	0	11	1	1	12
B3GALT6	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	3	1	1	0	2	0	1	2	0	1
C1QTNF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2J2	1	0	1	14	2	1	2	5	1	2	1	1	4	1	0	7	4	0	2	1	1	6	8	2	1	2	16	2	0	1	9	1	7	0	6	7
PUSL1	0	0	0	1	0	0	1	1	0	0	0	0	2	0	0	3	0	0	0	0	1	3	1	1	0	0	0	1	0	1	2	0	1	0	0	2
ACAP3	0	0	0	3	0	0	1	1	0	1	0	0	1	0	0	2	0	0	0	1	0	1	1	0	0	0	3	1	1	0	1	0	3	0	1	0
MIR6727	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AL139287.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INTS11	0	0	0	4	0	1	2	0	1	0	1	1	1	1	1	3	0	1	0	1	3	3	1	1	0	2	5	1	0	1	1	2	1	4	2	2
CPTP	1	0	0	5	0	0	1	0	0	0	1	1	0	0	1	3	0	1	0	1	2	0	5	2	0	1	5	0	0	0	3	0	2	0	1	7
TAS1R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DVL1	0	0	0	2	0	0	2	0	2	0	0	0	2	1	0	2	0	0	0	1	0	0	1	0	0	0	1	0	1	0	3	0	1	0	1	1
MXRA8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
AURKAIP1	2	1	2	40	0	3	24	0	3	2	7	1	3	2	2	31	4	4	6	1	4	13	20	7	4	8	32	2	0	9	42	5	10	4	2	24
NDUFB4P8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNL2	0	3	2	13	2	1	9	4	1	0	1	2	2	3	4	22	1	1	1	3	0	7	6	6	2	2	3	1	1	0	9	4	2	2	2	10
AL391244.1	0	0	0	2	0	0	1	0	0	1	1	0	0	0	0	4	1	1	0	0	1	1	4	1	0	0	2	1	0	0	2	0	0	1	0	3
RN7SL657P	1	0	0	3	0	0	0	0	1	0	0	0	1	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0
MRPL20	1	1	1	37	2	2	13	2	2	1	3	2	9	1	2	14	2	2	5	3	0	14	11	4	4	4	24	4	0	6	18	2	9	6	2	20
AL391244.3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AL391244.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ANKRD65	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1
ATAD3C	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ATAD3B	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0
ATAD3A	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	2	0	2	0	0	1	2	0	0	0	0	2
TMEM240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645728.1	0	0	0	5	0	0	2	2	0	0	0	0	0	1	0	2	2	1	0	0	2	1	2	1	0	2	1	0	0	0	2	1	0	0	0	2
SSU72	3	7	6	47	5	4	23	9	6	8	6	0	12	4	2	24	3	2	6	5	7	23	21	4	9	11	30	4	0	5	33	4	21	5	5	14
FNDC10	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
MIB2	0	0	2	4	0	1	3	0	0	3	0	0	0	0	1	5	0	0	0	1	0	1	2	0	0	4	5	0	0	0	2	0	3	0	0	3
AL691432.2	0	0	0	1	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK11B	0	1	1	18	3	2	4	3	2	0	3	3	2	6	5	18	2	9	2	2	2	9	10	3	4	8	12	2	4	2	8	2	10	0	2	9
FO704657.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0
SLC35E2B	0	0	2	3	0	0	1	1	0	1	1	0	0	2	0	0	0	1	0	0	2	1	5	0	0	1	1	0	0	1	2	0	3	1	1	2
MMP23A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK11A	1	1	0	14	3	0	6	0	1	0	2	1	2	1	1	4	0	1	4	4	2	3	4	1	2	1	6	2	0	4	9	1	4	2	0	1
AL031282.1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2
AL031282.2	0	0	0	3	0	0	1	1	0	1	0	0	1	0	1	1	0	1	0	2	1	4	1	3	2	1	3	1	0	0	2	1	4	0	0	2
SLC35E2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADK	0	3	2	13	4	1	10	2	3	3	2	3	4	1	1	9	2	5	4	0	1	5	9	4	1	3	9	4	1	5	15	5	2	4	3	5
GNB1	10	8	9	61	12	7	28	8	17	8	9	5	28	8	6	49	10	15	7	9	9	23	35	9	11	16	56	7	10	6	52	8	18	7	12	37
AL109917.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFAP74	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GABRD	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	3	1	1	0	0	1
PRKCZ	1	2	0	7	1	0	4	0	2	1	1	2	2	2	1	4	1	4	0	0	1	2	4	0	0	1	4	0	0	2	2	1	4	1	0	4
AL590822.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRKCZ-AS1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AL590822.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FAAP20	1	1	1	13	0	2	10	1	2	1	2	0	8	3	0	14	0	1	2	0	1	3	12	1	4	4	6	2	0	5	21	0	8	2	1	15
SKI	0	2	1	8	1	2	4	2	1	0	1	0	3	1	1	3	1	2	2	3	1	4	6	1	2	0	4	2	1	0	9	0	3	4	3	6
AL513477.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
MORN1	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1
RER1	2	2	1	33	3	3	15	0	2	1	4	2	7	2	0	17	1	7	6	5	4	10	18	3	4	7	17	3	4	5	37	3	11	0	6	16
PEX10	0	0	3	3	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	1	1	0	2	1	3	1	0	0	4	0	3	0	0	5
PLCH2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1
PANK4	1	1	0	2	2	0	0	0	2	0	0	0	1	0	0	5	1	0	0	0	0	1	0	0	2	1	2	0	1	0	1	0	2	0	0	2
AL139246.5	0	1	0	4	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	2	2	0	0	0	0	1	0	0	2
HES5	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TNFRSF14	4	0	0	26	2	0	11	3	1	2	3	1	6	6	2	23	2	2	2	3	3	11	11	3	2	8	16	2	1	2	19	7	10	5	0	8
TNFRSF14-AS1	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	4	0	2	0	0	0
AL139246.3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRXL2B	0	0	0	3	0	0	5	0	0	0	0	0	2	0	0	4	0	0	0	0	0	2	1	1	0	0	2	0	0	0	5	0	2	1	0	1
AL831784.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMEL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	1	1	0	1	2	2	0	0	0	0
TTC34	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2
AL589702.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LINC00982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	1	0	0	2	0	0	1	0	0	0	0	0	1	0	0	2	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	2	0	0	1
AL512383.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL590438.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEGF6	0	0	1	1	0	0	1	1	0	1	2	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	1	0	2
AL513320.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TPRG1L	0	0	0	11	3	1	4	1	3	1	1	0	5	0	2	10	1	3	1	2	1	3	10	6	3	1	12	1	1	0	13	2	4	3	5	9
TP73	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WRAP73	0	0	0	1	0	1	2	1	0	0	3	0	2	0	0	1	1	2	0	0	1	3	0	0	2	0	6	1	0	1	6	1	1	1	1	3
AL136528.2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
TP73-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	1
SMIM1	1	2	3	27	3	4	24	3	2	1	1	0	4	2	0	28	0	2	1	0	4	4	21	6	2	8	13	4	2	3	16	1	33	1	2	19
RN7SL574P	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL365330.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC47	0	0	0	12	1	0	5	0	0	0	1	0	1	0	0	9	1	1	2	0	3	2	1	1	1	3	6	4	1	2	7	3	0	0	1	6
CEP104	0	0	0	9	1	2	1	3	1	3	0	0	0	1	1	9	0	0	1	0	0	2	6	1	1	1	2	2	0	3	4	2	3	0	3	10
DFFB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	2	0	0	0	2	1	0	0	0	0	0	0	1	0
C1orf174	0	1	2	12	2	0	1	1	2	0	1	1	5	2	0	8	1	0	1	0	3	4	14	1	1	2	6	3	0	1	4	1	5	3	0	5
LINC01134	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AL805961.1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEF1DP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	0	0	1	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1	0	1	0	0	0
AL365255.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0
KCNAB2	1	3	5	14	2	1	9	1	1	2	3	1	7	6	1	12	3	2	3	2	4	12	13	0	3	3	8	1	1	4	13	5	6	4	1	18
NPHP4	0	1	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1
CHD5	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	3	1	1	2	0	1	0	5	1	0	0	0	0	1	1	3	0	1	0	0	2
AL031847.2	6	3	5	59	12	11	21	7	7	2	16	5	14	4	8	28	7	7	5	2	7	21	24	12	7	8	24	6	6	5	34	4	11	6	3	31
RNF207	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
RPL22	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
LINC00337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ICMT	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	2	3	0	1	0	1	2	0	0	2	1	0	0	1	4
GPR153	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL031848.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT7	0	0	1	6	1	1	6	0	0	1	0	2	3	1	3	1	0	0	2	0	0	1	1	2	1	0	7	1	0	0	2	1	2	1	0	1
HES2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ESPN	0	0	0	8	0	0	0	0	1	0	0	1	1	0	1	3	1	0	2	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	2	1
TNFRSF25	1	0	1	13	1	1	5	0	0	4	2	0	1	1	1	11	0	0	0	0	1	1	2	0	1	1	7	0	0	0	5	2	1	1	0	3
PLEKHG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
AL591866.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOL9	1	0	4	3	0	1	2	1	0	1	0	1	0	0	0	0	0	2	0	1	0	0	2	2	4	0	1	1	0	0	5	1	0	2	1	4
ZBTB48	0	0	0	2	1	1	2	0	1	0	0	0	1	2	0	4	1	1	0	0	2	1	1	1	0	0	3	0	1	0	4	0	1	0	1	0
PHF13	1	0	0	3	0	0	1	0	0	2	0	1	0	1	0	1	0	0	1	0	0	3	2	1	1	0	4	0	2	0	3	0	3	0	0	3
KLHL21	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	3	0	0	1	0	2	1	0	0	0	1	4	1	0	0	2	0	2	0	0	3
THAP3	1	0	1	3	1	0	1	0	1	0	0	0	0	0	3	4	0	0	0	1	1	3	1	0	0	0	3	0	1	0	5	1	2	0	0	1
DNAJC11	0	0	1	1	0	0	2	2	0	1	0	0	0	0	3	1	1	1	1	0	0	1	2	1	0	0	1	0	0	0	1	0	2	0	0	3
CAMTA1-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1	1	2	4	47	13	3	20	10	7	2	5	3	15	8	3	50	4	6	3	3	3	19	24	10	6	19	44	3	2	6	46	11	17	10	7	28
AL590128.1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	2	1	0	0	1	0	1	0	0	1
AL512330.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RNU1-8P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VAMP3	0	0	1	19	2	0	7	0	0	3	2	2	8	1	2	6	1	3	2	0	0	8	7	1	2	1	11	2	0	1	15	2	9	2	1	16
PER3	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	5	0	0	0	0	2	0	0	2	3	1	2	0	1	1
Z98884.1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
UTS2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	1
AL009183.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	2
PARK7	1	4	0	31	4	4	15	6	3	2	1	2	6	3	2	19	3	6	7	1	7	15	20	10	7	9	27	6	6	9	28	7	19	4	4	24
RF00019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0
ERRFI1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	2	1	0	0	0	0	1	0	1	0
AL034417.2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
