category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Genetic Information Processing,Translation,hsa03010,Ribosome,3/5,163/6702,0.018404907975460124,24.66993865030675,8.358915355534144,1.3627561794372835e-4,0.0017205953055963053,0.0013583647149444517,6217/6222/6176,3
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease - COVID-19,3/5,190/6702,0.015789473684210527,21.16421052631579,7.703986077804128,2.1507441319953816e-4,0.0017205953055963053,0.0013583647149444517,6217/6222/6176,3
