ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa04940,Type I diabetes mellitus,36,0.7616885762518074,2.245454753430598,7.718194018064e-8,2.4417559257147926e-6,1.6839696039412364e-6,2250,"tags=56%, list=11%, signal=50%",3107/3105/3122/3113/3133/3134/3106/3109/3002/3127/3553/3117/3115/3111/1363/5551/3123/3119/5799/940
hsa05320,Autoimmune thyroid disease,35,0.7586420168172753,2.240735957924795,2.1659087234982127e-7,6.281135298144817e-6,4.3318174469964256e-6,2273,"tags=51%, list=11%, signal=46%",3107/3105/3122/3113/3133/3134/3106/3109/3002/3127/3117/3115/3111/5551/3123/3119/940/7038
hsa05332,Graft-versus-host disease,35,0.7531436516724466,2.2244959076550965,3.477969484298119e-7,9.310256773351888e-6,6.4208667402426816e-6,2250,"tags=51%, list=11%, signal=46%",3107/3105/3122/3113/3133/3134/3106/3109/3002/3127/3553/3117/3115/3111/5551/3123/3119/940
hsa04145,Phagosome,133,0.5328517910927726,1.928904563145259,7.601814653202525e-7,1.8895939280817707e-5,1.3031682262632899e-5,3626,"tags=45%, list=17%, signal=38%",10952/3107/3105/3122/537/2215/23480/9296/3113/3133/3134/7280/3106/7277/533/3109/3127/523/3689/3117/81027/526/71/5868/2209/7057/83547/3115/3111/9902/821/929/3123/3119/535/5869/3678/6890/3688/51143/7846/2213/347733/2214/3118/60/9103/8992/1535/10376/9114/53407/51382/3920/9550/2212/5879/653361/10312/9341
hsa05415,Diabetic cardiomyopathy,167,0.49624821841046096,1.8375766629277754,1.2371885081034342e-6,2.6908850051249694e-5,1.8557827621551514e-5,2515,"tags=38%, list=12%, signal=34%",514/7381/1350/5880/4708/1340/10476/374291/4694/4706/100532726/55967/4717/4695/517/4709/506/5499/54539/29796/4712/9167/4697/5160/515/6262/1329/9377/1327/1347/7386/10105/4707/4716/516/4702/27089/4713/4728/6667/2597/7384/4318/4700/4705/5601/5164/5970/292/291/1346/1537/5162/6391/4696/539/2997/7419/4725/4715/5580/25874/1345/4710
hsa05010,Alzheimer disease,321,0.417250950580679,1.6592844610934756,1.2022511927646673e-6,2.6908850051249694e-5,1.8557827621551514e-5,2372,"tags=29%, list=11%, signal=26%",514/637/7381/1350/4708/1340/10476/374291/4694/4706/5688/100532726/369/55967/4717/4695/801/517/4709/5605/7280/506/5694/5717/54539/7277/5704/29796/4712/2903/5701/9167/4697/515/1131/89953/1329/3553/9377/81027/6622/1327/808/1347/7386/10105/1649/4707/5663/4716/1147/4893/5702/5692/516/4702/3845/27089/4713/54205/5691/4728/322/2597/3265/5705/5595/7384/5690/55062/4700/4705/5601/9861/5970/292/291/1346/5689/147700/348/1537/5710/6391/22926/4696/776/539/5714/57142/7419/5685/4725/4715
hsa05330,Allograft rejection,32,0.7549856185224822,2.1909096526664826,1.4924297884461815e-6,3.055091566936889e-5,2.1069597013357863e-5,2250,"tags=53%, list=11%, signal=48%",3107/3105/3122/3113/3133/3134/3106/3109/3002/3127/3117/3115/3111/5551/3123/3119/940
hsa04932,Non-alcoholic fatty liver disease,134,0.5067756088513427,1.8390330837859987,4.189563694301895e-6,8.099823142316996e-5,5.5860849257358594e-5,2515,"tags=35%, list=12%, signal=31%",637/7381/1350/4708/1340/374291/4694/4706/100532726/51094/55967/4717/4695/4709/54539/29796/4712/9167/4697/1329/3553/9377/1327/1347/7386/1649/4707/4716/4702/27089/4713/54205/4728/7384/4700/4705/5601/5970/1346/1537/6391/4696/2353/4725/4715/1345/4710
hsa04612,Antigen processing and presentation,69,0.6042740728755505,1.9929846116668313,7.457071267090023e-6,1.365821474182804e-4,9.419458442640031e-5,2412,"tags=43%, list=11%, signal=39%",5721/567/3107/3105/3122/972/5720/10437/3113/3133/3134/3106/3109/3127/3117/3115/3326/3111/3308/2923/821/3123/3119/1508/925/8625/3306/6890/926/3309
hsa04931,Insulin resistance,103,-0.5388991455131696,-1.8239448872545083,2.4140505578748828e-5,4.200447970702296e-4,2.8968606694498595e-4,3745,"tags=38%, list=18%, signal=31%",5509/79660/10488/10998/64764/32/5581/5770/5290/6198/7132/11000/6196/5293/5501/2673/2475/2308/5295/2932/51422/5834/5500/8660/5728/6945/5170/5599/6774/10724/5590/5291/9882/10000/1385/9586/5588/6197/5579
hsa03050,Proteasome,43,0.6535670889454357,1.9864491075057287,5.8339414197885915e-5,9.667674352792524e-4,6.667361622615534e-4,2318,"tags=49%, list=11%, signal=44%",5721/5720/5688/5694/5717/5704/5701/51371/5698/9491/5702/5692/5691/5705/5690/9861/5689/5710/5714/5685/5696
hsa04010,MAPK signaling pathway,271,-0.4165476537263045,-1.5792938772638707,8.592026738909848e-5,0.0013591024114275579,9.373120078810744e-4,2684,"tags=24%, list=13%, signal=21%",2005/4214/7132/23542/3727/994/6196/7786/51135/23162/5058/51701/2002/5567/6416/3554/22808/7048/11221/783/5578/5604/284/4294/5921/285/56034/9448/5603/2122/1844/785/6788/3556/5532/5599/3480/6722/5608/5922/5534/57551/10125/6654/1432/9020/80310/6655/8569/10000/10746/5154/5321/5607/6789/5906/9693/673/23118/5924/6197/5530/4217/5579/9252
hsa05150,Staphylococcus aureus infection,58,0.5882146761372868,1.869470681423112,1.4877954678236483e-4,0.00215730342834429,0.0014877954678236486,2946,"tags=41%, list=14%, signal=36%",3122/2215/3113/1669/3109/2357/3127/3689/3117/6404/2209/3115/1668/728/3111/3123/3119/2358/1675/2213/1667/2214/3118/9103
hsa05416,Viral myocarditis,65,0.5609800461610284,1.8228250758196876,1.4304882849514104e-4,0.00215730342834429,0.0014877954678236486,2993,"tags=42%, list=14%, signal=36%",637/5880/3107/3105/3122/3113/3133/3134/3106/3109/3127/3689/3117/1756/71/3115/3111/54205/5551/3123/3119/940/1982/3118/3908/60/6645
hsa04935,"Growth hormone synthesis, secretion and action",108,-0.5073917164383586,-1.7301874671914508,1.836634552800978e-4,0.0025565952974989613,0.0017631691706889389,2844,"tags=34%, list=14%, signal=30%",5290/5330/399694/53358/4214/3717/5332/5293/2475/5567/6776/6416/1388/6777/5578/2033/5604/5295/2932/5603/8660/5599/6774/5608/6654/1432/1387/5291/6655/3708/10000/23236/1385/9586/3709/2776/5579
hsa04723,Retrograde endocannabinoid signaling,128,0.4519777659879841,1.6321697292340513,2.059277304027214e-4,0.002756263468467194,0.001900871357563582,2840,"tags=37%, list=14%, signal=32%",4708/374291/4694/4706/100532726/2790/55967/4717/4695/4709/54539/4712/4697/22999/11343/113/2791/4707/4716/773/2783/5566/4702/4713/4728/5595/2771/4700/2891/4705/5601/2787/2890/2566/2773/4696/776/57406/4725/4715/10681/59345/4710/2775/2555/774/2785
hsa05323,Rheumatoid arthritis,79,0.5220745859076374,1.752987040356775,2.2400430660485024e-4,0.0028871666184625143,0.0019911493920431135,3431,"tags=38%, list=16%, signal=32%",3122/537/9296/3113/6352/533/4050/3109/3127/523/6374/3553/3689/3117/526/3115/3111/3123/3119/535/10673/940/2353/6349/3118/8992/9114/51382/9550/3606
hsa05322,Systemic lupus erythematosus,47,0.5933799818182701,1.8438638517265027,2.8807759922016586e-4,0.0035803930188792045,0.002469236564744279,2824,"tags=38%, list=13%, signal=33%",3122/2215/6632/3113/6741/3109/3127/2903/6634/3117/2209/3115/3111/3123/3119/940/2214/3118
hsa04510,Focal adhesion,187,-0.4296496813218073,-1.5656084052269825,3.4872391351345634e-4,0.004184686962161476,0.0028859910083872255,2912,"tags=28%, list=14%, signal=24%",7148/3911/3915/3685/5290/399694/53358/57144/5293/5501/7143/5058/2002/1292/54776/5578/5604/8394/2889/824/5295/2932/56034/81/1729/5500/7410/5728/3672/5170/5599/3480/330/6654/7414/80310/3655/5291/6655/896/2534/10000/5154/4659/5906/6093/596/4660/673/10451/3676/5579
hsa04514,Cell adhesion molecules,135,0.45587978557045905,1.6564691073517046,3.7461115430020115e-4,0.004205312312789355,0.00290021538813059,2504,"tags=29%, list=12%, signal=26%",6402/3107/3105/3122/3113/3133/64115/3134/3106/2734/3109/5789/3127/3384/4685/7122/9369/914/3689/3117/6404/3115/3111/1272/3696/57502/3695/3123/3119/925/90952/26047/940/214/926/57863/9379/257194/3688
