category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Endocrine system,mmu04918,Thyroid hormone synthesis,1/1,57/6246,0.017543859649122806,109.57894736842104,10.420122233852203,0.009125840537944518,0.039625360230547635,0.0037919005005308745,22027,1
Organismal Systems,Immune system,mmu04657,IL-17 signaling pathway,1/1,68/6246,0.014705882352941176,91.85294117647058,9.53168092082769,0.010886967659301972,0.039625360230547635,0.0037919005005308745,22027,1
Human Diseases,Cancer: specific types,mmu05215,Prostate cancer,1/1,95/6246,0.010526315789473684,65.74736842105263,8.046574949694598,0.015209734229907235,0.039625360230547635,0.0037919005005308745,22027,1
Organismal Systems,Endocrine system,mmu04915,Estrogen signaling pathway,1/1,104/6246,0.009615384615384616,60.057692307692314,7.684900279619269,0.016650656420108878,0.039625360230547635,0.0037919005005308745,22027,1
Human Diseases,Cardiovascular disease,mmu05418,Fluid shear stress and atherosclerosis,1/1,128/6246,0.0078125,48.796875,6.913528404512417,0.02049311559398026,0.039625360230547635,0.0037919005005308745,22027,1
Genetic Information Processing,"Folding, sorting and degradation",mmu04141,Protein processing in endoplasmic reticulum,1/1,152/6246,0.006578947368421052,41.09210526315789,6.331832693869753,0.02433557476785142,0.039625360230547635,0.0037919005005308745,22027,1
Human Diseases,Cancer: overview,mmu05207,Chemical carcinogenesis - receptor activation,1/1,173/6246,0.005780346820809248,36.104046242774565,5.9248667700442494,0.02769772654498881,0.039625360230547635,0.0037919005005308745,22027,1
Human Diseases,Cardiovascular disease,mmu05417,Lipid and atherosclerosis,1/1,180/6246,0.005555555555555556,34.7,5.805170109479996,0.028818443804034644,0.039625360230547635,0.0037919005005308745,22027,1
Human Diseases,Infectious disease: bacterial,mmu05132,Salmonella infection,1/1,227/6246,0.004405286343612335,27.515418502202646,5.149312430043708,0.036343259686199336,0.04441953961646586,0.004250673647508695,22027,1
