ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0045721,negative regulation of gluconeogenesis,1/1,22/14409,0.045454545454545456,654.9545454545455,25.572534982956725,0.0015268235130819763,0.022760245745879655,NA,Mup2,1
GO:0061179,negative regulation of insulin secretion involved in cellular response to glucose stimulus,1/1,22/14409,0.045454545454545456,654.9545454545455,25.572534982956725,0.0015268235130819763,0.022760245745879655,NA,Mup2,1
GO:0045475,locomotor rhythm,1/1,23/14409,0.043478260869565216,626.4782608695652,25.00956338822342,0.0015962245818584853,0.022760245745879655,NA,Mup2,1
GO:0031649,heat generation,1/1,25/14409,0.04,576.36,23.986662960903917,0.0017350267194112812,0.022760245745879655,NA,Mup2,1
GO:0010888,negative regulation of lipid storage,1/1,31/14409,0.03225806451612903,464.80645161290323,21.53616613078807,0.002151433132070335,0.022760245745879655,NA,Mup2,1
GO:0002792,negative regulation of peptide secretion,1/1,56/14409,0.017857142857142856,257.3035714285714,16.009483796443014,0.0038864598514817272,0.022760245745879655,NA,Mup2,1
GO:0051055,negative regulation of lipid biosynthetic process,1/1,61/14409,0.01639344262295082,236.21311475409837,15.336659178390136,0.00423346519536405,0.022760245745879655,NA,Mup2,1
GO:0006094,gluconeogenesis,1/1,90/14409,0.011111111111111112,160.1,12.613484847574835,0.006246096189881256,0.022760245745879655,NA,Mup2,1
GO:0043255,regulation of carbohydrate biosynthetic process,1/1,106/14409,0.009433962264150943,135.93396226415095,11.61610787932649,0.007356513290304623,0.022760245745879655,NA,Mup2,1
GO:0008286,insulin receptor signaling pathway,1/1,131/14409,0.007633587786259542,109.99236641221374,10.439940919958012,0.009091540009716237,0.022760245745879655,NA,Mup2,1
GO:1904950,negative regulation of establishment of protein localization,1/1,132/14409,0.007575757575757576,109.1590909090909,10.399956293614455,0.009160941078492524,0.022760245745879655,NA,Mup2,1
GO:0071333,cellular response to glucose stimulus,1/1,148/14409,0.006756756756756757,97.35810810810811,9.816216588284313,0.01027135817891589,0.022760245745879655,NA,Mup2,1
GO:1903531,negative regulation of secretion by cell,1/1,148/14409,0.006756756756756757,97.35810810810811,9.816216588284313,0.01027135817891589,0.022760245745879655,NA,Mup2,1
GO:0071331,cellular response to hexose stimulus,1/1,151/14409,0.006622516556291391,95.42384105960265,9.717193064851735,0.010479561385245528,0.022760245745879655,NA,Mup2,1
GO:0009060,aerobic respiration,1/1,155/14409,0.0064516129032258064,92.96129032258065,9.589644952894796,0.01075716566035112,0.022760245745879655,NA,Mup2,1
GO:0001678,intracellular glucose homeostasis,1/1,166/14409,0.006024096385542169,86.80120481927712,9.262893976467456,0.011520577416892275,0.022760245745879655,NA,Mup2,1
GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,1/1,170/14409,0.0058823529411764705,84.75882352941176,9.15198467707479,0.011798181691997978,0.022760245745879655,NA,Mup2,1
GO:0062013,positive regulation of small molecule metabolic process,1/1,174/14409,0.005747126436781609,82.8103448275862,9.044907121003853,0.012075785967104014,0.022760245745879655,NA,Mup2,1
GO:0009749,response to glucose,1/1,195/14409,0.005128205128205128,73.8923076923077,8.537699203667678,0.01353320841140948,0.022760245745879655,NA,Mup2,1
GO:0007623,circadian rhythm,1/1,208/14409,0.004807692307692308,69.27403846153847,8.262810566722347,0.014435422305503653,0.022760245745879655,NA,Mup2,1
GO:0007626,locomotory behavior,1/1,209/14409,0.004784688995215311,68.94258373205741,8.242729143436499,0.014504823374280051,0.022760245745879655,NA,Mup2,1
GO:1903828,negative regulation of protein localization,1/1,209/14409,0.004784688995215311,68.94258373205741,8.242729143436499,0.014504823374280051,0.022760245745879655,NA,Mup2,1
GO:0006006,glucose metabolic process,1/1,210/14409,0.004761904761904762,68.61428571428571,8.222790628143569,0.01457422444305645,0.022760245745879655,NA,Mup2,1
GO:0042593,glucose homeostasis,1/1,256/14409,0.00390625,56.28515625,7.435398862872119,0.01776667360677353,0.023606542207416373,NA,Mup2,1
GO:0032868,response to insulin,1/1,263/14409,0.0038022813688212928,54.78707224334601,7.3339670195158355,0.01825248108820854,0.023606542207416373,NA,Mup2,1
GO:0009914,hormone transport,1/1,303/14409,0.0033003300330033004,47.554455445544555,6.823082547173569,0.021028523839267232,0.025143254676001675,NA,Mup2,1
GO:0042886,amide transport,1/1,309/14409,0.003236245954692557,46.63106796116505,6.755077198756876,0.021444930251925842,0.025143254676001675,NA,Mup2,1
GO:0035592,establishment of protein localization to extracellular region,1/1,347/14409,0.002881844380403458,41.524495677233425,6.36588530192254,0.024082170865431296,0.02685023648214754,NA,Mup2,1
GO:0071692,protein localization to extracellular region,1/1,351/14409,0.002849002849002849,41.05128205128205,6.328608223873717,0.024359775140537,0.0268511157799101,NA,Mup2,1
GO:0007005,mitochondrion organization,1/1,421/14409,0.0023752969121140144,34.22565320665083,5.764169776008583,0.029217849954889408,0.030546917734360992,NA,Mup2,1
GO:0010876,lipid localization,1/1,422/14409,0.002369668246445498,34.144549763033176,5.757130340980059,0.029287251023665695,0.030546917734360992,NA,Mup2,1
GO:0010817,regulation of hormone levels,1/1,484/14409,0.002066115702479339,29.770661157024794,5.363828964184521,0.033590117287806365,0.033937122631688466,NA,Mup2,1
