category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Lipid metabolism,mmu00120,Primary bile acid biosynthesis,1/4,18/6208,0.05555555555555555,86.22222222222221,9.193455036049189,0.011550372587855295,0.044809621138604816,0.014150406675348889,13123,1
Organismal Systems,Digestive system,mmu04977,Vitamin digestion and absorption,1/4,20/6208,0.05,77.60000000000001,8.71171358607728,0.012827542295560157,0.044809621138604816,0.014150406675348889,11806,1
Human Diseases,Infectious disease: parasitic,mmu05143,African trypanosomiasis,1/4,24/6208,0.041666666666666664,64.66666666666666,7.934470809160394,0.015378168309343576,0.044809621138604816,0.014150406675348889,11806,1
Organismal Systems,Digestive system,mmu04975,Fat digestion and absorption,1/4,28/6208,0.03571428571428571,55.42857142857142,7.329033175584863,0.017923848455441926,0.044809621138604816,0.014150406675348889,11806,1
