category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Metabolism of other amino acids,mmu00430,Taurine and hypotaurine metabolism,2/3,17/6208,0.11764705882352941,243.45098039215688,22.008913848329954,2.1142500179835303e-5,1.2685500107901182e-4,2.2255263347195053e-5,55990/14262,2
Metabolism,Xenobiotics biodegradation and metabolism,mmu00982,Drug metabolism - cytochrome P450,2/3,58/6208,0.034482758620689655,71.35632183908045,11.836142166044045,2.558410225391448e-4,7.675230676174344e-4,1.3465316975744463e-4,55990/14262,2
Metabolism,Lipid metabolism,mmu00590,Arachidonic acid metabolism,1/3,57/6208,0.017543859649122806,36.30409356725146,5.887355175085466,0.027297323335912393,0.04636881604972913,0.008134880008724409,13089,1
Metabolism,Lipid metabolism,mmu00140,Steroid hormone biosynthesis,1/3,73/6208,0.0136986301369863,28.347031963470318,5.167672135378975,0.034869415275177174,0.04636881604972913,0.008134880008724409,13089,1
Metabolism,Metabolism of cofactors and vitamins,mmu00830,Retinol metabolism,1/3,81/6208,0.012345679012345678,25.54732510288066,4.8893750363240445,0.038640680041440945,0.04636881604972913,0.008134880008724409,13089,1
