ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-445355,Smooth Muscle Contraction,4/29,27/7499,0.14814814814814814,38.30906768837803,12.100108461175413,2.977245010457336e-6,4.0192807641174034e-4,3.071263273945463e-4,11475/98932/22004/17904,4
R-MMU-5627123,RHO GTPases activate PAKs,3/29,17/7499,0.17647058823529413,45.632860040567955,11.478410224373613,3.4100601745536174e-5,0.0023017906178236917,0.0017588731426644976,98932/77579/17904,3
R-MMU-1474244,Extracellular matrix organization,6/29,203/7499,0.029556650246305417,7.642942075760149,5.978297014829352,1.03143315616099e-4,0.004641449202724455,0.0035466824317114745,13179/14268/268935/12111/13717/16402,6
R-MMU-1566948,Elastic fibre formation,3/29,36/7499,0.08333333333333333,21.54885057471264,7.700048838593599,3.4079408097337574e-4,0.009732287028270541,0.007436757339341233,14268/13717/16402,3
R-MMU-3000178,ECM proteoglycans,3/29,38/7499,0.07894736842105263,20.41470054446461,7.475416429396048,4.0056521790403723e-4,0.009732287028270541,0.007436757339341233,13179/14268/12111,3
R-MMU-1474228,Degradation of the extracellular matrix,4/29,94/7499,0.0425531914893617,11.003668378576668,6.080959317072275,4.325460901453574e-4,0.009732287028270541,0.007436757339341233,13179/14268/268935/13717,4
R-MMU-2024101,CS/DS degradation,2/29,11/7499,0.18181818181818182,47.01567398119123,9.515478410265143,7.772875540777495e-4,0.014990545685785167,0.011454763954829994,13179/12111,2
R-MMU-3371568,Attenuation phase,2/29,13/7499,0.15384615384615385,39.78249336870027,8.719546694951562,0.0010970582416038582,0.018512857827065108,0.014146277325944489,193740/15511,2
R-MMU-2022870,Chondroitin sulfate biosynthesis,2/29,16/7499,0.125,32.32327586206897,7.814491265798092,0.0016756835662062601,0.024560575131704815,0.01876753499342746,13179/12111,2
R-MMU-397014,Muscle contraction,4/29,141/7499,0.028368794326241134,7.335778919051112,4.7319603313141005,0.0019739325638929574,0.024560575131704815,0.01876753499342746,11475/98932/22004/17904,4
R-MMU-76002,"Platelet activation, signaling and aggregation",5/29,239/7499,0.02092050209205021,5.409753282354638,4.316744540062099,0.0020012320477685403,0.024560575131704815,0.01876753499342746,12759/14062/21346/14268/11852,5
R-MMU-1971475,A tetrasaccharide linker sequence is required for GAG synthesis,2/29,20/7499,0.1,25.858620689655176,6.935562263465431,0.0026278562292649035,0.029563382579230163,0.02259034302350531,13179/12111,2
R-MMU-3371571,HSF1-dependent transactivation,2/29,22/7499,0.09090909090909091,23.507836990595614,6.587078322239318,0.003179654156881276,0.03301948547530556,0.02523126375500932,193740/15511,2
R-MMU-450531,Regulation of mRNA stability by proteins that bind AU-rich elements,3/29,85/7499,0.03529411764705882,9.126572008113591,4.694636554072181,0.00415161490201194,0.03987825742985178,0.030472274683239563,193740/15511/22695,3
R-MMU-9634597,GPER1 signaling,2/29,26/7499,0.07692307692307693,19.891246684350136,6.011892663445544,0.004430917492205753,0.03987825742985178,0.030472274683239563,14268/16402,2
R-MMU-2129379,Molecules associated with elastic fibres,2/29,29/7499,0.06896551724137931,17.833531510107015,5.658813101984464,0.005495666939820072,0.046369689804731856,0.035432589480418886,14268/13717,2
