category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cell motility,mmu04820,Cytoskeleton in muscle cells,10/31,222/6767,0.04504504504504504,9.832897413542575,9.077591865724106,2.8605904360511365e-8,4.233673845355682e-6,3.5531544363582543e-6,17880/98932/13179/118449/22004/14268/77579/12111/13717/16402,10
Organismal Systems,Circulatory system,mmu04270,Vascular smooth muscle contraction,6/31,120/6767,0.05,10.91451612903226,7.433530225554469,1.4056295651971377e-5,0.0010401658782458818,8.72969940490854e-4,11475/17880/98932/77579/17904/18798,6
Cellular Processes,Cell motility,mmu04814,Motor proteins,6/31,173/6767,0.03468208092485549,7.570762632854745,5.938956759315245,1.107793297219114e-4,0.005465113599614296,0.004586652949889665,11475/17880/98932/22004/77579/17904,6
Cellular Processes,Cellular community - eukaryotes,mmu04510,Focal adhesion,6/31,195/6767,0.03076923076923077,6.716625310173698,5.494827467100818,2.1383608655394854e-4,0.007911935202496096,0.006640173214043666,16476/98932/192176/14268/16779/16402,6
Cellular Processes,Cell motility,mmu04810,Regulation of actin cytoskeleton,6/31,211/6767,0.02843601895734597,6.207307751108393,5.212916935414029,3.2797420474103275e-4,0.00970803646033457,0.008147569717777234,17880/98932/14062/14268/77579/16402,6
Cellular Processes,Cellular community - eukaryotes,mmu04530,Tight junction,5/31,144/6767,0.034722222222222224,7.579525089605736,5.4137004311262125,4.426587415179015e-4,0.010918915624108239,0.009163812543703926,16476/17880/98932/77579/17904,5
Human Diseases,Endocrine and metabolic disease,mmu04933,AGE-RAGE signaling pathway in diabetic complications,4/31,98/6767,0.04081632653061224,8.90980908492429,5.350501434259658,9.640917456355166e-4,0.020383654050579493,0.01710719187744225,18787/16476/14268/18798,4
Environmental Information Processing,Signal transduction,mmu04010,MAPK signaling pathway,6/31,271/6767,0.02214022140221402,4.832996071896202,4.3686355536042525,0.0012333626306214847,0.022817208666497467,0.019149577685965157,19252/16476/193740/15370/192176/15511,6
Organismal Systems,Endocrine system,mmu04915,Estrogen signaling pathway,4/31,117/6767,0.03418803418803419,7.462917011304109,4.783618005634959,0.0018621944532353977,0.030622753230982094,0.025700461459856952,16476/193740/15511/18798,4
