ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006839,mitochondrial transport,25/251,174/16510,0.14367816091954022,9.450702935384896,13.92338801350087,1.5652320831487932e-17,5.480720340379467e-16,4.331954056844191e-16,Chchd10/Mpc2/Ucp1/Mpc1/Ghitm/Slc25a1/Ndufa13/Hk2/Dnajc15/Mtch2/Acaa2/Mdh1/Hspa9/Mdh2/Slc25a20/Slc25a39/Grpel1/Dnajc19/Letm1/Slc25a51/Mtx2/Vdac1/Samm50/Vdac2/Timm23,25
GO:1902600,proton transmembrane transport,21/251,116/16510,0.1810344827586207,11.90788569858497,14.647969824527003,5.0896214386538504e-17,1.7289519991606215e-15,1.3665613572127937e-15,Otop1/Ndufa4/Ucp1/Ghitm/Cyc1/Cox7a1/Uqcrfs1/Ndufs7/Ndufv2/Ndufs8/Ndufa2/Ndufa10/Slc36a2/Uqcrh/Cox17/Ndufb7/Ndufs4/Slc16a1/Letm1/Ndufs3/Ndufs2,21
GO:0006734,NADH metabolic process,14/251,37/16510,0.3783783783783784,24.88855389253796,18.07401765091367,1.096491255878546e-16,3.5149494343374237e-15,2.7782113510695853e-15,Eno1/Pfkl/Aldoa/Gpd1/Pkm/Gpd2/Gapdh/Gpi1/Me1/Mdh1/Mdh2/Pgk1/Ogdh/Pgam1,14
GO:0019674,NAD metabolic process,16/251,58/16510,0.27586206896551724,18.145349635939002,16.251794465379923,2.2830790106142614e-16,7.217066427997304e-15,5.704359691724815e-15,Eno1/Pfkl/Ldha/Aldoa/Gpd1/Pkm/Ldhb/Gpd2/Gapdh/Gpi1/Me1/Mdh1/Mdh2/Pgk1/Ogdh/Pgam1,16
GO:0043603,amide metabolic process,34/251,410/16510,0.08292682926829269,5.454669128364591,11.34866487593748,6.530698321823432e-16,2.0361464904753602e-14,1.6093674739720616e-14,Acsl5/Elovl6/Mpc2/G6pdx/Mpc1/Dgat2/Acaca/Pdhb/Sod2/Dlat/Fasn/Sucla2/Pdha1/Acsl1/Elovl3/Mgst1/Acot11/Dld/Acaa2/Acacb/Pdk4/Suclg1/Cs/Ces1d/Ogdh/Acly/Dgat1/Acat1/Acss2/Hsd17b4/Vdac1/Mcee/Hsd11b1/Pank1,34
GO:1990845,adaptive thermogenesis,21/251,160/16510,0.13125,8.633217131474103,12.054773594499117,4.2041930383929846e-14,1.2590451783397938e-12,9.951476319409435e-13,Elovl6/Ucp1/Fabp4/Hadh/Letmd1/Acadl/Cd36/Bola3/Decr1/Cpt2/Acsl1/Elovl3/Acot11/Gnas/Cidea/Lpin1/Ces1d/Fabp5/Pparg/Adipoq/Acot13,21
GO:0106106,cold-induced thermogenesis,20/251,144/16510,0.1388888888888889,9.1356795042054,12.182996889306954,5.778347131745022e-14,1.6860920604938038e-12,1.3326849187789803e-12,Elovl6/Ucp1/Fabp4/Hadh/Letmd1/Acadl/Cd36/Decr1/Cpt2/Acsl1/Elovl3/Acot11/Gnas/Cidea/Lpin1/Ces1d/Fabp5/Pparg/Adipoq/Acot13,20
GO:1990542,mitochondrial transmembrane transport,17/251,97/16510,0.17525773195876287,11.527908982626196,12.920649129272267,9.206129931144279e-14,2.6522976864916937e-12,2.09637255860434e-12,Mpc2/Ucp1/Mpc1/Ghitm/Slc25a1/Dnajc15/Mdh1/Hspa9/Mdh2/Slc25a39/Grpel1/Dnajc19/Letm1/Slc25a51/Vdac1/Vdac2/Timm23,17
GO:0046184,aldehyde biosynthetic process,10/251,26/16510,0.38461538461538464,25.298804780876495,15.406025483814906,2.365809740259871e-12,6.647633294853662e-11,5.254280501759741e-11,Eno1/Aldoa/Tkt/Gpd1/Gapdh/Pck1/Mdh1/Mdh2/Pgk1/Pgam1,10
GO:0046364,monosaccharide biosynthetic process,16/251,104/16510,0.15384615384615385,10.119521912350598,11.591448665409768,4.070868310286162e-12,1.1163007559290729e-10,8.82322630599753e-11,Eno1/G6pdx/Dgat2/Pgd/Gpd1/Gpd2/Gapdh/Gpi1/Pck1/Acadm/Mdh1/Mdh2/Pgk1/Pgam1/Rbp4/Adipoq,16
