ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0003012,muscle system process,10/50,407/16510,0.02457002457002457,8.113022113022113,8.008080634770636,3.160729759594505e-7,3.3140177566680454e-4,2.504748587571815e-4,Acta2/Nr4a1/Myh11/Smtn/Flna/Tpm2/F2r/Myl6/Errfi1/Lmcd1,10
GO:0007015,actin filament organization,10/50,420/16510,0.023809523809523808,7.8619047619047615,7.850942194665129,4.218991415236213e-7,3.3140177566680454e-4,2.504748587571815e-4,Flna/Dstn/Synpo2/Dpysl3/Tpm2/Tagln2/Myh10/Cnn1/Eln/Rhob,10
GO:0032965,regulation of collagen biosynthetic process,4/50,50/16510,0.08,26.416,9.91991061853869,1.5467599749795975e-5,0.00607489980173237,0.004591434873097332,Serpine1/F2r/Fn1/Errfi1,4
GO:0061469,regulation of type B pancreatic cell proliferation,3/50,18/16510,0.16666666666666666,55.03333333333333,12.641302389701602,2.0654670921151788e-5,0.006489697603425892,0.004904940799801941,Nr4a1/Nupr1/Errfi1,3
GO:0032964,collagen biosynthetic process,4/50,61/16510,0.06557377049180328,21.652459016393447,8.906301781610354,3.42011113149215e-5,0.007675706553677382,0.005801331362891947,Serpine1/F2r/Fn1/Errfi1,4
GO:0051090,regulation of DNA-binding transcription factor activity,7/50,337/16510,0.020771513353115726,6.858753709198812,5.989014563200401,6.516934300837413e-5,0.01279762973326947,0.00967250248861132,Clu/Flna/Cytl1/Hspa1b/Wwp2/Id3/Nupr1,7
GO:0042060,wound healing,7/50,358/16510,0.019553072625698324,6.456424581005587,5.752637229547954,9.517139499796981e-5,0.015415185747183065,0.011650862355738884,Serpine1/Flna/Wfdc1/F2r/Fn1/Myh10/Itga5,7
GO:0070372,regulation of ERK1 and ERK2 cascade,6/50,261/16510,0.022988505747126436,7.5908045977011485,5.915287273604528,1.307107961755956e-4,0.015415185747183065,0.011650862355738884,Dusp1/Acta2/Jun/F2r/Fn1/Errfi1,6
GO:0044342,type B pancreatic cell proliferation,3/50,34/16510,0.08823529411764706,29.13529411764706,9.050977741605184,1.463851617352313e-4,0.015415185747183065,0.011650862355738884,Nr4a1/Nupr1/Errfi1,3
GO:1902905,positive regulation of supramolecular fiber organization,5/50,168/16510,0.02976190476190476,9.827380952380953,6.338177210788021,1.50401578010312e-4,0.015415185747183065,0.011650862355738884,Hspa1a/Flna/Dstn/Hspa1b/Synpo2,5
